"UserID","CountryID","LanguageID","Gender","Age","Dep1Date","ReasonCA","Group","Split"
1391330,208,11,1,19,2005-02-24,2,"B","B3"
1391359,276,2,1,26,2005-02-24,2,"B","B4"
1391465,792,7,1,38,2005-04-20,3,"A","A3"
1392734,276,2,1,21,2005-02-25,2,"B","B4"
1392839,250,6,1,25,2005-12-12,3,"B","B3"
1393382,191,19,1,23,2006-01-31,2,"B","B4"
1393506,276,2,1,26,2005-03-03,3,"A","A4"
1393587,276,2,1,30,2005-03-02,1,"A","A4"
1393984,40,2,1,18,2005-03-04,1,"A","A4"
1394057,826,1,1,29,2005-02-26,3,"A","A4"
1394208,380,3,1,22,2005-11-24,2,"A","A3"
1394220,792,7,1,20,2005-02-25,3,"A","A4"
1394342,276,2,1,33,2005-02-27,3,"B","B4"
1394472,250,6,1,39,2005-02-25,1,"A","A4"
1394775,250,6,0,25,2005-02-25,3,"A","A3"
1394897,724,12,1,35,2005-02-26,3,"A","A4"
1395214,208,11,1,24,2005-02-26,2,"B","B4"
1395928,724,4,1,21,2005-02-26,3,"A","A4"
1396105,276,2,0,34,2005-02-26,2,"B","B4"
1396240,276,2,1,24,2005-09-15,3,"B","B4"
1396788,276,2,1,18,2006-03-18,2,"A","A4"
1396859,276,2,1,18,2005-03-04,3,"B","B2"
1396931,276,2,1,44,2005-03-16,2,"A","A3"
1397413,276,2,1,24,2005-04-22,1,"B","B4"
1397690,250,6,1,30,2005-02-26,1,"B","B3"
1397740,276,2,1,26,2005-02-26,2,"A","A4"
1397982,276,2,1,19,2005-11-23,2,"A","A4"
1398134,616,9,1,22,2005-11-18,2,"B","B4"
1398349,380,3,1,31,2005-02-26,3,"A","A4"
1398368,276,2,1,33,2005-02-26,3,"A","A2"
1398541,724,4,1,20,2005-03-04,1,"A","A4"
1398865,40,2,1,36,2005-02-27,3,"B","B4"
1399218,276,2,1,44,2006-06-06,2,"A","A3"
1399313,276,2,1,48,2005-02-27,2,"B","B3"
1399419,380,3,1,36,2005-02-27,3,"A","A4"
1399487,276,2,1,25,2005-02-27,3,"A","A1"
1399682,276,2,1,37,2005-03-02,2,"A","A4"
1399709,276,2,1,48,2005-02-27,1,"B","B4"
1399917,276,2,1,28,2005-03-01,3,"A","A3"
1400258,276,2,1,31,2005-03-25,3,"A","A4"
1400650,276,2,0,22,2005-02-27,3,"B","B4"
1401132,620,16,1,18,2005-03-03,2,"B","B3"
1401187,380,3,1,28,2005-03-02,1,"A","A3"
1401233,300,8,0,31,2005-02-27,3,"A","A4"
1401430,276,2,0,24,2006-04-05,2,"A","A3"
1401528,276,2,1,21,2005-02-27,2,"A","A4"
1401647,276,1,1,23,2005-02-27,1,"A","A4"
1401881,276,2,1,21,2005-02-27,1,"A","A4"
1401892,276,2,1,21,2006-06-16,2,"B","B1"
1401925,792,7,1,18,2005-11-30,1,"A","A4"
1401953,276,2,1,29,2005-02-27,2,"A","A4"
1401960,276,2,1,26,2005-03-02,2,"A","A4"
1402003,616,9,0,40,2006-04-01,3,"A","A4"
1402004,276,2,1,28,2005-03-21,3,"B","B4"
1402060,276,2,1,27,2005-03-23,2,"B","B4"
1402202,276,2,1,22,2005-02-28,2,"A","A3"
1402298,616,9,0,30,2005-03-03,2,"B","B2"
1402410,792,7,1,18,2005-09-25,2,"B","B4"
1402511,250,6,1,22,2005-02-28,1,"B","B4"
1402588,792,7,1,46,2005-03-01,3,"B","B4"
1402949,276,2,1,19,2005-03-02,3,"B","B4"
1403299,792,7,1,22,2005-03-02,2,"B","B3"
1403340,616,9,0,20,2005-03-03,2,"B","B4"
1403346,276,2,1,33,2005-02-28,3,"B","B3"
1403585,276,2,1,20,2005-03-03,3,"A","A4"
1403738,250,6,0,26,2005-02-28,2,"A","A4"
1403862,276,2,1,40,2005-03-04,3,"B","B4"
1403962,792,7,1,24,2005-09-13,3,"A","A4"
1404360,724,4,1,24,2005-03-01,2,"A","A4"
1404375,40,2,0,21,2005-03-12,3,"A","A4"
1404473,250,6,1,18,2005-02-28,2,"B","B3"
1404474,276,2,1,19,2005-03-03,1,"B","B4"
1404484,276,2,1,24,2005-03-04,3,"A","A4"
1404525,300,8,1,36,2005-02-28,2,"A","A4"
1404681,380,3,1,19,2005-03-18,2,"B","B4"
1405181,380,3,1,27,2005-03-04,2,"B","B2"
